feature,source,earliest_availability,latest_allowed_timestamp,leakage_status
team_elo,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
opp_elo,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
elo_diff,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
adaptive_volatility,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
expected_score,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
goals_for,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
goals_against,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
goal_diff,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
result_numeric,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
points,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
clean_sheet,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
failed_to_score,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
xg_for,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
xg_against,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
shots,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
shots_on_target,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
possession,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
pass_accuracy,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
rest_days_norm,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tournament_tier,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
is_competitive,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
is_home_venue,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
opp_strength_ratio,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
squad_top5_ovr,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
squad_xi_ovr,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
squad_depth_ovr,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
squad_avg_age,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
lineup_continuity,SequenceBuilder historical match buffer,Historical match conclusion (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_possession_control,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_pressing_intensity,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_directness,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_progression_rate,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_passing_accuracy,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_crossing_frequency,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_centrality,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_transition_speed,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_shot_creation,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_defensive_activity_height,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
tactical_build_up_tempo,ContinuousTacticalTracker historical style buffer,Historical match rolling stats (< current kickoff),Current match kickoff timestamp t,PASS (Strictly Pre-Match)
